year,sales,population,sales_pop,pop_sales
1967,91000000.0,198752000.0,0.46,2.18
1968,103000000.0,200745000.0,0.51,1.95
1969,102000000.0,202736000.0,0.5,1.99
1970,85000000.0,205089000.0,0.41,2.41
1971,104000000.0,207692000.0,0.5,2.0
1972,111000000.0,209924000.0,0.53,1.89
1973,115000000.0,211939000.0,0.54,1.84
1974,88000000.0,213898000.0,0.41,2.43
1975,83000000.0,215981000.0,0.38,2.6
1976,102000000.0,218086000.0,0.47,2.14
1977,108000000.0,220289000.0,0.49,2.04
1978,110000000.0,222629000.0,0.49,2.02
1979,99000000.0,225106000.0,0.44,2.27
1980,79000000.0,227726000.0,0.35,2.88
1981,75000000.0,230008000.0,0.33,3.07
1982,69000000.0,232218000.0,0.3,3.37
1983,82000000.0,234333000.0,0.35,2.86
1984,95000000.0,236394000.0,0.4,2.49
1985,98000000.0,238506000.0,0.41,2.43
1986,99000000.0,240683000.0,0.41,2.43
1987,85000000.0,242843000.0,0.35,2.86
1988,90000000.0,245061000.0,0.37,2.72
1989,85000000.0,247387000.0,0.34,2.91
1990,83000000.0,250181000.0,0.33,3.01
1991,74000000.0,253530000.0,0.29,3.43
1992,75000000.0,256922000.0,0.29,3.43
1993,81000000.0,260282000.0,0.31,3.21
1994,87000000.0,263455000.0,0.33,3.03
1995,85000000.0,266588000.0,0.32,3.14
1996,86000000.0,269714000.0,0.32,3.14
1997,82000000.0,272958000.0,0.3,3.33
1998,80000000.0,276154000.0,0.29,3.45
1999,83000000.0,279328000.0,0.3,3.37
2000,81000000.0,282398000.0,0.29,3.49
2001,75000000.0,285225000.0,0.26,3.8
2002,70000000.0,287955000.0,0.24,4.11
2003,66000000.0,290626000.0,0.23,4.4
2004,64000000.0,293262000.0,0.22,4.58
2005,66000000.0,295993000.0,0.22,4.48
2006,65000000.0,298818000.0,0.22,4.6
2007,62000000.0,301696000.0,0.21,4.87
2008,54000000.0,304543000.0,0.18,5.64
2009,43000000.0,307240000.0,0.14,7.15
2010,45000000.0,309839000.0,0.15,6.89
2011,50000000.0,312295000.0,0.16,6.25
2012,61000000.0,314725000.0,0.19,5.16
2013,65000000.0,317099000.0,0.2,4.88
2014,67000000.0,319601000.0,0.21,4.77
2015,67000000.0,322113000.0,0.21,4.81
2016,62000000.0,324609000.0,0.19,5.24
2017,55000000.0,326860000.0,0.17,5.94
2018,49000000.0,328794000.0,0.15,6.71
2019,43000000.0,330513000.0,0.13,7.69
2020,31000000.0,331788000.0,0.09,10.7
2021,29000000.0,332351000.0,0.09,11.46
2022,25000000.0,333595000.0,0.07,13.34
