DATE,USAUTOSALES
1/1/1967,7.837
2/1/1967,6.85
3/1/1967,7.22
4/1/1967,8.164
5/1/1967,7.961
6/1/1967,8.186
7/1/1967,7.939
8/1/1967,7.295
9/1/1967,7.764
10/1/1967,7.052
11/1/1967,6.766
12/1/1967,7.78
1/1/1968,8.526
2/1/1968,8.035
3/1/1968,8.743
4/1/1968,8.153
5/1/1968,8.694
6/1/1968,8.413
7/1/1968,8.996
8/1/1968,8.994
9/1/1968,8.702
10/1/1968,8.96
11/1/1968,8.638
12/1/1968,8.642
1/1/1969,8.85
2/1/1969,8.869
3/1/1969,8.356
4/1/1969,8.5
5/1/1969,8.51
6/1/1969,8.489
7/1/1969,8.065
8/1/1969,8.45
9/1/1969,8.975
10/1/1969,8.642
11/1/1969,8.062
12/1/1969,7.804
1/1/1970,7.394
2/1/1970,7.944
3/1/1970,7.444
4/1/1970,7.742
5/1/1970,7.668
6/1/1970,8.054
7/1/1970,7.72
8/1/1970,7.595
9/1/1970,7.763
10/1/1970,5.981
11/1/1970,4.944
12/1/1970,5.184
1/1/1971,8.255
2/1/1971,8.305
3/1/1971,8.749
4/1/1971,8.296
5/1/1971,8.164
6/1/1971,8.423
7/1/1971,7.883
8/1/1971,8.27
9/1/1971,9.964
10/1/1971,9.684
11/1/1971,9.21
12/1/1971,8.74
1/1/1972,8.838
2/1/1972,9.076
3/1/1972,8.962
4/1/1972,9.109
5/1/1972,9.262
6/1/1972,9.02
7/1/1972,9.142
8/1/1972,9.32
9/1/1972,9.118
10/1/1972,9.521
11/1/1972,9.744
12/1/1972,9.92
1/1/1973,10.136
2/1/1973,10.208
3/1/1973,10.918
4/1/1973,10.463
5/1/1973,10.614
6/1/1973,9.73
7/1/1973,9.622
8/1/1973,9.367
9/1/1973,9.629
10/1/1973,8.278
11/1/1973,8.267
12/1/1973,7.832
1/1/1974,7.93
2/1/1974,7.612
3/1/1974,7.77
4/1/1974,7.794
5/1/1974,7.778
6/1/1974,7.669
7/1/1974,7.576
8/1/1974,8.896
9/1/1974,7.314
10/1/1974,6.356
11/1/1974,5.603
12/1/1974,6.044
1/1/1975,6.386
2/1/1975,7.162
3/1/1975,5.998
4/1/1975,5.716
5/1/1975,6.269
6/1/1975,6.361
7/1/1975,7.279
8/1/1975,7.094
9/1/1975,7.504
10/1/1975,7.62
11/1/1975,7.895
12/1/1975,8.128
1/1/1976,8.453
2/1/1976,8.723
3/1/1976,8.812
4/1/1976,8.626
5/1/1976,8.386
6/1/1976,8.43
7/1/1976,8.549
8/1/1976,7.99
9/1/1976,8.452
10/1/1976,7.71
11/1/1976,8.279
12/1/1976,9.497
1/1/1977,8.945
2/1/1977,9.024
3/1/1977,9.391
4/1/1977,8.95
5/1/1977,8.87
6/1/1977,9.178
7/1/1977,8.861
8/1/1977,8.988
9/1/1977,8.749
10/1/1977,8.982
11/1/1977,8.732
12/1/1977,8.984
1/1/1978,8.044
2/1/1978,8.543
3/1/1978,8.96
4/1/1978,9.751
5/1/1978,9.788
6/1/1978,9.742
7/1/1978,9.091
8/1/1978,9.571
9/1/1978,8.725
10/1/1978,9.38
11/1/1978,9.132
12/1/1978,9.239
1/1/1979,9.026
2/1/1979,9.176
3/1/1979,8.791
4/1/1979,8.374
5/1/1979,8.236
6/1/1979,7.291
7/1/1979,8.328
8/1/1979,8.586
9/1/1979,8.485
10/1/1979,7.321
11/1/1979,7.33
12/1/1979,7.817
1/1/1980,8.345
2/1/1980,7.862
3/1/1980,7.139
4/1/1980,5.923
5/1/1980,5.324
6/1/1980,5.753
7/1/1980,6.445
8/1/1980,6.432
9/1/1980,6.372
10/1/1980,6.631
11/1/1980,6.463
12/1/1980,6.287
1/1/1981,6.563
2/1/1981,7.397
3/1/1981,7.65
4/1/1981,5.738
5/1/1981,5.796
6/1/1981,5.779
7/1/1981,5.856
8/1/1981,7.81
9/1/1981,6.726
10/1/1981,5.131
11/1/1981,5.138
12/1/1981,4.921
1/1/1982,5.348
2/1/1982,6.248
3/1/1982,5.868
4/1/1982,5.471
5/1/1982,6.383
6/1/1982,5.13
7/1/1982,5.184
8/1/1982,5.35
9/1/1982,6.182
10/1/1982,5.328
11/1/1982,6.478
12/1/1982,6.128
1/1/1983,5.78
2/1/1983,5.992
3/1/1983,6.084
4/1/1983,6.538
5/1/1983,6.814
6/1/1983,7.254
7/1/1983,7.202
8/1/1983,6.725
9/1/1983,6.874
10/1/1983,7.162
11/1/1983,7.07
12/1/1983,8.023
1/1/1984,7.879
2/1/1984,8.239
3/1/1984,7.952
4/1/1984,8.018
5/1/1984,8.154
6/1/1984,8.035
7/1/1984,8.198
8/1/1984,7.849
9/1/1984,7.645
10/1/1984,7.604
11/1/1984,7.774
12/1/1984,8.071
1/1/1985,8.244
2/1/1985,8.308
3/1/1985,8.38
4/1/1985,8.474
5/1/1985,8.227
6/1/1985,7.651
7/1/1985,7.532
8/1/1985,9.412
9/1/1985,11.239
10/1/1985,6.462
11/1/1985,6.772
12/1/1985,7.754
1/1/1986,8.498
2/1/1986,7.836
3/1/1986,6.928
4/1/1986,7.844
5/1/1986,8.192
6/1/1986,8.176
7/1/1986,7.608
8/1/1986,8.808
9/1/1986,11.519
10/1/1986,7.1
11/1/1986,6.99
12/1/1986,9.08
1/1/1987,5.846
2/1/1987,7.184
3/1/1987,7.403
4/1/1987,7.423
5/1/1987,6.853
6/1/1987,7.172
7/1/1987,7.274
